orig_name,normalized,sandik_count
AHMET YESEVİ MAH.,AHMET YESEVİ,50
BAHÇELİEVLER MAH.,BAHÇELİEVLER,25
BALLICA MAH.,BALLICA,1
BATI MAH.,BATI,32
DOĞU MAH.,DOĞU,32
DUMLUPINAR MAH.,DUMLUPINAR,50
EMİRLİ MAH.,EMİRLİ,1
ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,28
ESENLER MAH.,ESENLER,58
ESENYALI MAH.,ESENYALI,26
FATİH MAH.,FATİH,39
FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,70
GÖÇBEYLİ MAH.,GÖÇBEYLİ,3
GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,27
GÜZELYALI MAH.,GÜZELYALI,64
HARMANDERE MAH.,HARMANDERE,15
KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1
KAVAKPINAR MAH.,KAVAKPINAR,110
KAYNARCA MAH.,KAYNARCA,94
KURNA MAH.,KURNA,3
KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,1
KURTKÖY MAH.,KURTKÖY,59
ORHANGAZİ MAH.,ORHANGAZİ,52
ORTA MAH.,ORTA,12
RAMAZANOĞLU MAH.,RAMAZANOĞLU,6
SANAYİ MAH.,SANAYİ,7
SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,23
SÜLÜNTEPE MAH.,SÜLÜNTEPE,44
VELİBABA MAH.,VELİBABA,68
YAYALAR MAH.,YAYALAR,22
YENİ MAH.,YENİ,31
YENİŞEHİR MAH.,YENİŞEHİR,109
YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,12
ÇAMLIK MAH.,ÇAMLIK,28
ÇAMÇEŞME MAH.,ÇAMÇEŞME,60
ÇINARDERE MAH.,ÇINARDERE,37
ŞEYHLİ MAH.,ŞEYHLİ,32
