orig_name,normalized,sandik_count
AHMET YESEVİ MAH.,AHMET YESEVİ,53
BAHÇELİEVLER MAH.,BAHÇELİEVLER,28
BALLICA MAH.,BALLICA,2
BATI MAH.,BATI,33
DOĞU MAH.,DOĞU,35
DUMLUPINAR MAH.,DUMLUPINAR,52
EMİRLİ MAH.,EMİRLİ,1
ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,30
ESENLER MAH.,ESENLER,63
ESENYALI MAH.,ESENYALI,28
FATİH MAH.,FATİH,41
FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,74
GÖÇBEYLİ MAH.,GÖÇBEYLİ,3
GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,30
GÜZELYALI MAH.,GÜZELYALI,69
HARMANDERE MAH.,HARMANDERE,16
KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1
KAVAKPINAR MAH.,KAVAKPINAR,116
KAYNARCA MAH.,KAYNARCA,99
KURNA MAH.,KURNA,3
KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2
KURTKÖY MAH.,KURTKÖY,64
ORHANGAZİ MAH.,ORHANGAZİ,55
ORTA MAH.,ORTA,13
RAMAZANOĞLU MAH.,RAMAZANOĞLU,6
SANAYİ MAH.,SANAYİ,7
SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,25
SÜLÜNTEPE MAH.,SÜLÜNTEPE,47
VELİBABA MAH.,VELİBABA,74
YAYALAR MAH.,YAYALAR,25
YENİ MAH.,YENİ,35
YENİŞEHİR MAH.,YENİŞEHİR,121
YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,13
ÇAMLIK MAH.,ÇAMLIK,31
ÇAMÇEŞME MAH.,ÇAMÇEŞME,63
ÇINARDERE MAH.,ÇINARDERE,42
ŞEYHLİ MAH.,ŞEYHLİ,36
