orig_name,normalized,sandik_count
AHMET YESEVİ MAH.,AHMET YESEVİ,59
BAHÇELİEVLER MAH.,BAHÇELİEVLER,27
BALLICA MAH.,BALLICA,2
BATI MAH.,BATI,29
DOĞU MAH.,DOĞU,34
DUMLUPINAR MAH.,DUMLUPINAR,53
EMİRLİ MAH.,EMİRLİ,1
ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,27
ESENLER MAH.,ESENLER,65
ESENYALI MAH.,ESENYALI,28
FATİH MAH.,FATİH,42
FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,77
GÖÇBEYLİ MAH.,GÖÇBEYLİ,3
GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,35
GÜZELYALI MAH.,GÜZELYALI,69
HARMANDERE MAH.,HARMANDERE,18
KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1
KAVAKPINAR MAH.,KAVAKPINAR,124
KAYNARCA MAH.,KAYNARCA,99
KURNA MAH.,KURNA,3
KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,1
KURTKÖY MAH.,KURTKÖY,73
ORHANGAZİ MAH.,ORHANGAZİ,55
ORTA MAH.,ORTA,9
RAMAZANOĞLU MAH.,RAMAZANOĞLU,5
SANAYİ MAH.,SANAYİ,6
SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,25
SÜLÜNTEPE MAH.,SÜLÜNTEPE,49
VELİBABA MAH.,VELİBABA,80
YAYALAR MAH.,YAYALAR,27
YENİ MAH.,YENİ,34
YENİŞEHİR MAH.,YENİŞEHİR,127
YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,14
ÇAMLIK MAH.,ÇAMLIK,36
ÇAMÇEŞME MAH.,ÇAMÇEŞME,64
ÇINARDERE MAH.,ÇINARDERE,42
ŞEYHLİ MAH.,ŞEYHLİ,38
