il,ilce,secmen,yuzde
İSTANBUL,PENDİK,21792,3.995
BAYBURT,MERKEZ,9070,1.663
BARTIN,ULUS,8405,1.541
ERZİNCAN,REFAHİYE,8203,1.504
ORDU,MESUDİYE,5850,1.072
ORDU,AKKUŞ,4535,0.831
SİVAS,SUŞEHRİ,4527,0.83
SİVAS,HAFİK,4447,0.815
KASTAMONU,ARAÇ,4396,0.806
SİNOP,BOYABAT,4302,0.789
SİVAS,YILDIZELİ,4150,0.761
İSTANBUL,KARTAL,4005,0.734
ERZURUM,İSPİR,3998,0.733
KASTAMONU,CİDE,3932,0.721
İSTANBUL,FATİH,3898,0.715
KARS,MERKEZ,3868,0.709
TOKAT,ZİLE,3671,0.673
SİVAS,MERKEZ,3626,0.665
VAN,ERCİŞ,3596,0.659
ARDAHAN,ÇILDIR,3366,0.617
ERZİNCAN,TERCAN,3331,0.611
ARDAHAN,MERKEZ,3279,0.601
TOKAT,MERKEZ,3189,0.585
ERZURUM,HORASAN,3116,0.571
BAYBURT,AYDINTEPE,3071,0.563
AĞRI,PATNOS,2993,0.549
TOKAT,ALMUS,2982,0.547
KIRŞEHİR,AKÇAKENT,2888,0.529
İSTANBUL,KADIKÖY,2859,0.524
TOKAT,TURHAL,2815,0.516
SAKARYA,AKYAZI,2801,0.513
AMASYA,TAŞOVA,2773,0.508
GÜMÜŞHANE,ŞİRAN,2750,0.504
SAMSUN,BAFRA,2698,0.495
TOKAT,ERBAA,2647,0.485
TRABZON,OF,2627,0.482
SAKARYA,ADAPAZARI,2614,0.479
IĞDIR,TUZLUCA,2590,0.475
RİZE,MERKEZ,2542,0.466
ERZURUM,YAKUTİYE,2519,0.462
RİZE,ÇAYELİ,2514,0.461
ÇORUM,KARGI,2473,0.453
ÇANKIRI,ILGAZ,2443,0.448
ÇANKIRI,BAYRAMÖREN,2436,0.447
ZONGULDAK,ALAPLI,2384,0.437
KARS,DİGOR,2374,0.435
ARDAHAN,HANAK,2315,0.424
NEVŞEHİR,ACIGÖL,2293,0.42
BİLECİK,GÖLPAZARI,2281,0.418
SİVAS,KOYULHİSAR,2239,0.41
AĞRI,MERKEZ,2218,0.407
TRABZON,DÜZKÖY,2171,0.398
SAMSUN,HAVZA,2017,0.37
KARABÜK,EFLANİ,2000,0.367
GİRESUN,ŞEBİNKARAHİSAR,1997,0.366
ERZURUM,PAZARYOLU,1954,0.358
ERZURUM,AZİZİYE,1945,0.357
ARDAHAN,GÖLE,1905,0.349
AFYONKARAHİSAR,SİNANPAŞA,1901,0.348
SİNOP,SARAYDÜZÜ,1891,0.347
KASTAMONU,PINARBAŞI,1890,0.346
SİVAS,İMRANLI,1889,0.346
BİTLİS,TATVAN,1854,0.34
TRABZON,SÜRMENE,1839,0.337
SİVAS,ZARA,1817,0.333
TOKAT,NİKSAR,1807,0.331
GÜMÜŞHANE,KELKİT,1807,0.331
GİRESUN,MERKEZ,1801,0.33
İSTANBUL,ÜSKÜDAR,1735,0.318
GİRESUN,GÖRELE,1711,0.314
RİZE,İKİZDERE,1698,0.311
ORDU,ALTINORDU,1689,0.31
İSTANBUL,MALTEPE,1681,0.308
ERZURUM,AŞKALE,1671,0.306
İSTANBUL,BEYOĞLU,1667,0.306
ELAZIĞ,KARAKOÇAN,1637,0.3
SAMSUN,YAKAKENT,1631,0.299
ORDU,ÜNYE,1622,0.297
ERZURUM,OLTU,1616,0.296
SİVAS,KANGAL,1609,0.295
SAMSUN,ALAÇAM,1601,0.293
ELAZIĞ,MERKEZ,1583,0.29
ORDU,KUMRU,1553,0.285
SİİRT,KURTALAN,1548,0.284
SİNOP,AYANCIK,1543,0.283
KASTAMONU,İNEBOLU,1524,0.279
ERZİNCAN,MERKEZ,1509,0.277
SAMSUN,TERME,1505,0.276
KIRŞEHİR,ÇİÇEKDAĞI,1493,0.274
TRABZON,ARAKLI,1441,0.264
GİRESUN,ESPİYE,1440,0.264
ORDU,FATSA,1438,0.264
TRABZON,ÇAYKARA,1434,0.263
BARTIN,MERKEZ,1427,0.262
ZONGULDAK,EREĞLİ,1405,0.258
GİRESUN,DERELİ,1404,0.257
BİLECİK,BOZÜYÜK,1401,0.257
ÇANKIRI,ATKARACALAR,1379,0.253
AMASYA,MERKEZ,1363,0.25
TOKAT,ARTOVA,1349,0.247
TRABZON,ORTAHİSAR,1348,0.247
SAMSUN,VEZİRKÖPRÜ,1338,0.245
NEVŞEHİR,DERİNKUYU,1323,0.243
TRABZON,MAÇKA,1321,0.242
SİVAS,DİVRİĞİ,1303,0.239
ERZURUM,PASİNLER,1302,0.239
GİRESUN,TİREBOLU,1289,0.236
BİTLİS,MERKEZ,1285,0.236
KARS,ARPAÇAY,1285,0.236
SAKARYA,HENDEK,1273,0.233
İSTANBUL,TUZLA,1242,0.228
SAMSUN,LADİK,1238,0.227
GİRESUN,KEŞAP,1205,0.221
KOCAELİ,KANDIRA,1182,0.217
SAMSUN,ÇARŞAMBA,1180,0.216
MUŞ,BULANIK,1165,0.214
AFYONKARAHİSAR,BOLVADİN,1150,0.211
TOKAT,REŞADİYE,1140,0.209
ERZURUM,ÇAT,1138,0.209
AMASYA,MERZİFON,1137,0.208
ZONGULDAK,DEVREK,1114,0.204
SAKARYA,KARASU,1104,0.202
GİRESUN,ÇAMOLUK,1102,0.202
KARS,SARIKAMIŞ,1095,0.201
KASTAMONU,ŞENPAZAR,1095,0.201
ÇANKIRI,MERKEZ,1095,0.201
İSTANBUL,BEYKOZ,1094,0.201
BOLU,KIBRISCIK,1093,0.2
RİZE,İYİDERE,1093,0.2
MARDİN,MİDYAT,1092,0.2
BAYBURT,DEMİRÖZÜ,1046,0.192
KAHRAMANMARAŞ,ELBİSTAN,1045,0.192
TRABZON,HAYRAT,1035,0.19
TRABZON,AKÇAABAT,1034,0.19
GÜMÜŞHANE,KÜRTÜN,1021,0.187
KARS,AKYAKA,1005,0.184
AMASYA,GÖYNÜCEK,1005,0.184
KARABÜK,SAFRANBOLU,996,0.183
KASTAMONU,KÜRE,982,0.18
TRABZON,DERNEKPAZARI,978,0.179
ERZİNCAN,KEMAH,978,0.179
DÜZCE,MERKEZ,978,0.179
SAKARYA,FERİZLİ,971,0.178
ORDU,ULUBEY,966,0.177
ESKİŞEHİR,TEPEBAŞI,965,0.177
ÇANKIRI,ÇERKEŞ,963,0.177
ORDU,PERŞEMBE,957,0.175
ARTVİN,YUSUFELİ,944,0.173
BİLECİK,MERKEZ,938,0.172
BİNGÖL,MERKEZ,937,0.172
KARS,SUSUZ,935,0.171
ÇORUM,OSMANCIK,932,0.171
ANKARA,GÜDÜL,929,0.17
SİVAS,ŞARKIŞLA,928,0.17
SAKARYA,GEYVE,928,0.17
MALATYA,BATTALGAZİ,927,0.17
GİRESUN,PİRAZİZ,926,0.17
MUŞ,MERKEZ,926,0.17
RİZE,KALKANDERE,924,0.169
ERZİNCAN,İLİÇ,918,0.168
BİNGÖL,ADAKLI,914,0.168
BURSA,YILDIRIM,909,0.167
GÜMÜŞHANE,TORUL,903,0.166
BURSA,OSMANGAZİ,897,0.164
MALATYA,DARENDE,893,0.164
NİĞDE,MERKEZ,887,0.163
AĞRI,DOĞUBAYAZIT,887,0.163
ÇANKIRI,ORTA,880,0.161
KASTAMONU,ÇATALZEYTİN,879,0.161
KARS,KAĞIZMAN,879,0.161
KASTAMONU,TOSYA,877,0.161
KARABÜK,ESKİPAZAR,873,0.16
GÜMÜŞHANE,MERKEZ,873,0.16
KARS,SELİM,871,0.16
ESKİŞEHİR,MİHALIÇÇIK,868,0.159
KOCAELİ,GEBZE,853,0.156
İSTANBUL,BEŞİKTAŞ,838,0.154
TRABZON,ARSİN,835,0.153
TRABZON,ŞALPAZARI,834,0.153
SAKARYA,KAYNARCA,829,0.152
YOZGAT,ŞEFAATLİ,827,0.152
MALATYA,HEKİMHAN,826,0.151
GİRESUN,BULANCAK,824,0.151
AMASYA,SULUOVA,822,0.151
SAKARYA,SERDİVAN,819,0.15
ADANA,SEYHAN,813,0.149
BİTLİS,ADİLCEVAZ,797,0.146
GAZİANTEP,ŞAHİNBEY,797,0.146
YOZGAT,SARIKAYA,794,0.146
MARDİN,ARTUKLU,788,0.144
BİTLİS,MUTKİ,787,0.144
ERZURUM,ŞENKAYA,786,0.144
TRABZON,BEŞİKDÜZÜ,785,0.144
MALATYA,YEŞİLYURT,785,0.144
ERZİNCAN,ÇAYIRLI,771,0.141
GİRESUN,ALUCRA,770,0.141
SAMSUN,İLKADIM,759,0.139
SAKARYA,KOCAALİ,759,0.139
KIRIKKALE,DELİCE,757,0.139
ORDU,KORGAN,755,0.138
KARAMAN,MERKEZ,752,0.138
KARABÜK,OVACIK,750,0.137
RİZE,PAZAR,749,0.137
AFYONKARAHİSAR,SANDIKLI,739,0.135
BİLECİK,PAZARYERİ,736,0.135
KÜTAHYA,SİMAV,726,0.133
ERZURUM,HINIS,723,0.133
ZONGULDAK,MERKEZ,720,0.132
ÇORUM,MECİTÖZÜ,720,0.132
ARTVİN,ŞAVŞAT,718,0.132
ÇANKIRI,KURŞUNLU,711,0.13
DİYARBAKIR,SUR,710,0.13
SİNOP,ERFELEK,706,0.129
AĞRI,ELEŞKİRT,704,0.129
NEVŞEHİR,MERKEZ,703,0.129
İSTANBUL,ŞİŞLİ,702,0.129
KOCAELİ,İZMİT,695,0.127
ERZURUM,NARMAN,695,0.127
BİLECİK,YENİPAZAR,690,0.126
ÇANKIRI,KORGUN,690,0.126
AĞRI,DİYADİN,689,0.126
SAKARYA,KARAPÜRÇEK,688,0.126
ORDU,GÖLKÖY,687,0.126
SİNOP,MERKEZ,686,0.126
KASTAMONU,DOĞANYURT,683,0.125
YOZGAT,SORGUN,681,0.125
VAN,GÜRPINAR,679,0.124
MERSİN,TARSUS,675,0.124
GİRESUN,EYNESİL,673,0.123
BİNGÖL,SOLHAN,672,0.123
TUNCELİ,ÇEMİŞGEZEK,660,0.121
KİLİS,MERKEZ,656,0.12
ÇORUM,MERKEZ,656,0.12
SİVAS,AKINCILAR,655,0.12
AĞRI,TAŞLIÇAY,651,0.119
MUŞ,MALAZGİRT,646,0.118
RİZE,GÜNEYSU,646,0.118
YOZGAT,MERKEZ,644,0.118
MALATYA,ARGUVAN,642,0.118
ZONGULDAK,ÇAYCUMA,640,0.117
BATMAN,MERKEZ,638,0.117
ESKİŞEHİR,BEYLİKOVA,636,0.117
BOLU,GÖYNÜK,631,0.116
ERZURUM,KÖPRÜKÖY,622,0.114
ERZURUM,TORTUM,616,0.113
KASTAMONU,PINARBAŞI/KASTAMONU,615,0.113
ÇANAKKALE,BİGA,606,0.111
ELAZIĞ,SİVRİCE,604,0.111
ERZURUM,TEKMAN,604,0.111
NİĞDE,BOR,600,0.11
ADANA,CEYHAN,600,0.11
İSTANBUL,KAĞITHANE,598,0.11
ERZURUM,KARAYAZI,598,0.11
SAKARYA,PAMUKOVA,596,0.109
SİNOP,DİKMEN,595,0.109
KONYA,AKŞEHİR,595,0.109
ŞANLIURFA,EYYÜBİYE,591,0.108
KAYSERİ,KOCASİNAN,591,0.108
OSMANİYE,MERKEZ,591,0.108
AĞRI,HAMUR,588,0.108
IĞDIR,MERKEZ,583,0.107
BİTLİS,AHLAT,582,0.107
İSTANBUL,GAZİOSMANPAŞA,573,0.105
VAN,ÖZALP,561,0.103
BİNGÖL,KARLIOVA,556,0.102
SİVAS,ULAŞ,556,0.102
ŞANLIURFA,SİVEREK,551,0.101
DÜZCE,GÖLYAKA,549,0.101
SİVAS,GÜRÜN,547,0.1
AMASYA,GÜMÜŞHACIKÖY,547,0.1
BOLU,MERKEZ,546,0.1
SAKARYA,SÖĞÜTLÜ,546,0.1
AFYONKARAHİSAR,MERKEZ,544,0.1
AFYONKARAHİSAR,ÇAY,543,0.1
SAKARYA,ERENLER,539,0.099
SİNOP,DURAĞAN,536,0.098
ÇORUM,SUNGURLU,535,0.098
ÇANKIRI,KIZILIRMAK,534,0.098
KASTAMONU,DADAY,528,0.097
DİYARBAKIR,SİLVAN,526,0.096
KONYA,EREĞLİ,524,0.096
İSTANBUL,EYÜPSULTAN,523,0.096
DİYARBAKIR,ÇÜNGÜŞ,523,0.096
SAMSUN,SALIPAZARI,521,0.096
KAHRAMANMARAŞ,AFŞİN,520,0.095
MALATYA,KULUNCAK,514,0.094
KASTAMONU,İHSANGAZİ,513,0.094
KIRIKKALE,KESKİN,512,0.094
VAN,İPEKYOLU,512,0.094
GAZİANTEP,NİZİP,510,0.093
İSTANBUL,SARIYER,509,0.093
HATAY,KIRIKHAN,509,0.093
İSTANBUL,ÜMRANİYE,507,0.093
BİTLİS,HİZAN,506,0.093
ERZİNCAN,ÜZÜMLÜ,506,0.093
ISPARTA,YALVAÇ,503,0.092
KASTAMONU,BOZKURT,502,0.092
ESKİŞEHİR,ODUNPAZARI,501,0.092
SİNOP,GERZE,500,0.092
KAHRAMANMARAŞ,ONİKİŞUBAT,498,0.091
MALATYA,AKÇADAĞ,493,0.09
ADIYAMAN,MERKEZ,488,0.089
İZMİR,KONAK,485,0.089
ANKARA,ALTINDAĞ,483,0.089
UŞAK,KARAHALLI,483,0.089
RİZE,ARDEŞEN,480,0.088
YOZGAT,ÇEKEREK,480,0.088
İSTANBUL,ŞİLE,479,0.088
KASTAMONU,AZDAVAY,478,0.088
ÇORUM,ALACA,478,0.088
ÇORUM,İSKİLİP,477,0.087
KASTAMONU,HANÖNÜ,476,0.087
AFYONKARAHİSAR,SULTANDAĞI,474,0.087
TRABZON,KÖPRÜBAŞI,472,0.087
KASTAMONU,TAŞKÖPRÜ,470,0.086
TRABZON,VAKFIKEBİR,469,0.086
BOLU,MENGEN,469,0.086
KAYSERİ,MELİKGAZİ,461,0.085
İSTANBUL,ATAŞEHİR,461,0.085
ANKARA,POLATLI,460,0.084
KARABÜK,MERKEZ,460,0.084
ERZİNCAN,KEMALİYE,458,0.084
AKSARAY,MERKEZ,456,0.084
MALATYA,ARAPGİR,454,0.083
KAYSERİ,PINARBAŞI,451,0.083
BİNGÖL,KİĞI,451,0.083
HATAY,İSKENDERUN,450,0.082
KAYSERİ,DEVELİ,444,0.081
DÜZCE,AKÇAKOCA,442,0.081
İSTANBUL,ZEYTİNBURNU,440,0.081
DİYARBAKIR,BİSMİL,438,0.08
KARABÜK,YENİCE,435,0.08
BARTIN,KURUCAŞİLE,434,0.08
ÇORUM,BAYAT,431,0.079
HATAY,HASSA,428,0.078
TUNCELİ,MAZGİRT,425,0.078
ISPARTA,SÜTÇÜLER,422,0.077
MALATYA,PÜTÜRGE,422,0.077
DİYARBAKIR,ERGANİ,421,0.077
BOLU,GEREDE,421,0.077
TRABZON,TONYA,421,0.077
BURSA,İNEGÖL,420,0.077
AĞRI,TUTAK,414,0.076
MERSİN,AKDENİZ,414,0.076
NİĞDE,ÇİFTLİK,414,0.076
ANTALYA,AKSEKİ,409,0.075
ZONGULDAK,GÖKÇEBEY,409,0.075
YOZGAT,YERKÖY,408,0.075
İSTANBUL,KÜÇÜKÇEKMECE,408,0.075
GÜMÜŞHANE,KÖSE,407,0.075
TRABZON,YOMRA,406,0.074
KIRIKKALE,MERKEZ,405,0.074
SİVAS,GÖLOVA,405,0.074
İSTANBUL,BAHÇELİEVLER,396,0.073
KOCAELİ,KARAMÜRSEL,395,0.072
SAMSUN,19 MAYIS,388,0.071
YOZGAT,BOĞAZLIYAN,387,0.071
KONYA,BOZKIR,386,0.071
SİİRT,MERKEZ,385,0.071
EDİRNE,HAVSA,381,0.07
ERZURUM,OLUR,381,0.07
ORDU,İKİZCE,380,0.07
ANKARA,ÇANKAYA,376,0.069
KAHRAMANMARAŞ,DULKADİROĞLU,375,0.069
ORDU,AYBASTI,375,0.069
İSTANBUL,BAĞCILAR,374,0.069
YALOVA,MERKEZ,373,0.068
RİZE,DEREPAZARI,372,0.068
SİİRT,BAYKAN,371,0.068
TUNCELİ,MERKEZ,371,0.068
BİNGÖL,YAYLADERE,368,0.067
ZONGULDAK,KOZLU,366,0.067
NİĞDE,ALTUNHİSAR,365,0.067
MARDİN,DERİK,364,0.067
KIRŞEHİR,MERKEZ,363,0.067
ARDAHAN,POSOF,362,0.066
ADANA,YÜREĞİR,359,0.066
KAYSERİ,BÜNYAN,353,0.065
YOZGAT,KADIŞEHRİ,344,0.063
SİİRT,ŞİRVAN,342,0.063
ERZİNCAN,OTLUKBELİ,341,0.063
BURSA,ORHANGAZİ,340,0.062
TOKAT,PAZAR,340,0.062
GİRESUN,ÇANAKÇI,339,0.062
ELAZIĞ,MADEN,338,0.062
HATAY,ANTAKYA,337,0.062
BALIKESİR,BANDIRMA,333,0.061
BALIKESİR,GÖNEN,331,0.061
SİNOP,TÜRKELİ,330,0.06
ERZURUM,PALANDÖKEN,330,0.06
KOCAELİ,KARTEPE,329,0.06
TEKİRDAĞ,SÜLEYMANPAŞA,326,0.06
KAHRAMANMARAŞ,GÖKSUN,324,0.059
SAMSUN,ATAKUM,323,0.059
ARTVİN,BORÇKA,323,0.059
KÜTAHYA,MERKEZ,322,0.059
BİLECİK,OSMANELİ,322,0.059
ARTVİN,ARHAVİ,319,0.058
KIRKLARELİ,MERKEZ,318,0.058
MUŞ,VARTO,317,0.058
EDİRNE,UZUNKÖPRÜ,315,0.058
ORDU,ÇAYBAŞI,314,0.058
İSTANBUL,BAYRAMPAŞA,313,0.057
GAZİANTEP,ŞEHİTKAMİL,309,0.057
KASTAMONU,SEYDİLER,308,0.056
OSMANİYE,KADİRLİ,305,0.056
TOKAT,YEŞİLYURT,303,0.056
ADIYAMAN,KAHTA,302,0.055
BİLECİK,SÖĞÜT,302,0.055
DİYARBAKIR,ÇINAR,299,0.055
