il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,KEMAL KILIÇDAROĞLU,RECEP TAYYİP ERDOĞAN
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,59,18948,29.19569413989331,29.80430586010669
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,27,8725,14.836892813735611,12.163107186264389
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,416,0.7928340268146093,1.2071659731853908
İSTANBUL,PENDİK,BATI MAH.,BATI,29,9397,20.482288528198808,8.517711471801192
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,34,10734,20.08184729075381,13.91815270924619
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,53,17524,17.36201400384044,35.637985996159564
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,177,0.4915254237288136,0.5084745762711864
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,27,8602,11.38783232086226,15.61216767913774
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,65,21273,21.69070765844035,43.30929234155965
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,28,8944,9.126762439809712,18.873237560190287
İSTANBUL,PENDİK,FATİH MAH.,FATİH,42,13487,16.032508720211755,25.967491279788245
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,77,24840,23.719978397356595,53.28002160264341
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,944,0.5831207689898577,2.4168792310101423
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,35,11727,12.825293950087064,22.174706049912935
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,69,22406,29.50612191406684,39.49387808593316
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,18,5654,10.758238462459055,7.2417615375409445
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,29,0.5862068965517241,0.41379310344827586
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,124,41026,49.359704759517044,74.64029524048296
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,99,31127,42.59871321996215,56.40128678003785
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,778,1.2529642953682862,1.7470357046317138
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,1,359,0.403899721448468,0.596100278551532
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,73,23635,33.03028561383425,39.96971438616575
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,55,18103,18.573349867661467,36.42665013233854
İSTANBUL,PENDİK,ORTA MAH.,ORTA,9,2493,3.5527395677495313,5.447260432250468
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,5,1672,2.5695596312596987,2.4304403687403013
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,6,1946,2.731846784909943,3.268153215090057
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,25,8160,15.563176231750667,9.436823768249333
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,49,16117,24.3054235421325,24.6945764578675
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,80,25611,29.040479929546006,50.95952007045399
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,27,8755,12.939945356532448,14.060054643467552
İSTANBUL,PENDİK,YENİ MAH.,YENİ,34,11223,22.210852457308373,11.789147542691625
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,127,40488,81.06902969444796,45.93097030555204
İSTANBUL,PENDİK,YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,14,4533,8.28314393749033,5.71685606250967
İSTANBUL,PENDİK,ÇAMLIK MAH.,ÇAMLIK,36,11726,17.346512725570534,18.653487274429466
İSTANBUL,PENDİK,ÇAMÇEŞME MAH.,ÇAMÇEŞME,64,20965,18.761075154679933,45.23892484532007
İSTANBUL,PENDİK,ÇINARDERE MAH.,ÇINARDERE,42,13476,18.360231157468046,23.639768842531954
İSTANBUL,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ,38,12463,15.825380780411157,22.17461921958884
