orig_name,n_sandik,normalized,tip,durum
AHMET YESEVİ MAH.,63,AHMET YESEVİ,Sehir Merkezi,low
BAHÇELİEVLER MAH.,29,BAHÇELİEVLER,Sehir Merkezi,low
BALLICA MAH.,2,BALLICA,Tasra,Tasra
BATI MAH.,31,BATI,Sehir Merkezi,low
DOĞU MAH.,35,DOĞU,Sehir Merkezi,middle
DUMLUPINAR MAH.,58,DUMLUPINAR,Sehir Merkezi,low
EMİRLİ MAH.,1,EMİRLİ,Tasra,Tasra
ERTUĞRUL GAZİ MAH.,28,ERTUĞRUL GAZİ,Sehir Merkezi,low
ESENLER MAH.,70,ESENLER,Sehir Merkezi,low
ESENYALI MAH.,30,ESENYALI,Sehir Merkezi,low
FATİH MAH.,44,FATİH,Sehir Merkezi,low
FEVZİ ÇAKMAK MAH.,81,FEVZİ ÇAKMAK,Sehir Merkezi,low
GÖÇBEYLİ MAH.,3,GÖÇBEYLİ,Tasra,Tasra
GÜLLÜ BAĞLAR MAH.,39,GÜLLÜ BAĞLAR,Sehir Merkezi,low
GÜZELYALI MAH.,74,GÜZELYALI,Sehir Merkezi,low
HARMANDERE MAH.,19,HARMANDERE,Sehir Merkezi,middle
KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,Tasra,Tasra
KAVAKPINAR MAH.,135,KAVAKPINAR,Sehir Merkezi,low
KAYNARCA MAH.,104,KAYNARCA,Sehir Merkezi,low
KURNA MAH.,3,KURNA,Tasra,Tasra
KURTDOĞMUŞ MAH.,2,KURTDOĞMUŞ,Tasra,Tasra
KURTKÖY MAH.,79,KURTKÖY,Sehir Merkezi,low
ORHANGAZİ MAH.,59,ORHANGAZİ,Sehir Merkezi,low
ORTA MAH.,8,ORTA,Sehir Merkezi,low
RAMAZANOĞLU MAH.,6,RAMAZANOĞLU,Sehir Merkezi,low
SANAYİ MAH.,7,SANAYİ,Sehir Merkezi,low
SAPAN BAĞLARI MAH.,27,SAPAN BAĞLARI,Sehir Merkezi,low
SÜLÜNTEPE MAH.,53,SÜLÜNTEPE,Sehir Merkezi,low
VELİBABA MAH.,86,VELİBABA,Sehir Merkezi,low
YAYALAR MAH.,29,YAYALAR,Sehir Merkezi,low
YENİ MAH.,37,YENİ,Sehir Merkezi,low
YENİŞEHİR MAH.,138,YENİŞEHİR,Sehir Merkezi,middle
YEŞİLBAĞLAR MAH.,15,YEŞİLBAĞLAR,Sehir Merkezi,low
ÇAMLIK MAH.,40,ÇAMLIK,Sehir Merkezi,low
ÇAMÇEŞME MAH.,69,ÇAMÇEŞME,Sehir Merkezi,low
ÇINARDERE MAH.,46,ÇINARDERE,Sehir Merkezi,middle
ŞEYHLİ MAH.,41,ŞEYHLİ,Sehir Merkezi,low
